TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
30.2121,30.3601,30.4233,29.7735,29.7909,29.7237,29.6557,29.4225,29.2301,29.2861,29.6871,29.8062,29.887
30.2121,30.3601,30.4233,29.7735,29.7909,29.7237,29.6557,29.4225,29.2301,29.2861,29.6871,29.8062,29.887
30.2051,30.33,30.4218,29.7625,29.7834,29.7192,29.6531,29.4262,29.2347,29.287,29.6872,29.8071,29.8859
30.2051,30.33,30.4218,29.7625,29.7834,29.7192,29.6531,29.4262,29.2347,29.287,29.6872,29.8071,29.8859
30.2023,30.3179,30.4211,29.7564,29.7785,29.7147,29.6556,29.4245,29.2369,29.2879,29.6876,29.808,29.8846
30.2023,30.3179,30.4211,29.7564,29.7785,29.7147,29.6556,29.4245,29.2369,29.2879,29.6876,29.808,29.8846
30.198,30.3078,30.4193,29.7479,29.7689,29.7095,29.6513,29.423,29.2378,29.2886,29.6877,29.8124,29.88
30.198,30.3078,30.4193,29.7479,29.7689,29.7095,29.6513,29.423,29.2378,29.2886,29.6877,29.8124,29.88
30.1904,30.2746,30.418,29.7446,29.7531,29.7004,29.6447,29.4244,29.2357,29.2894,29.6878,29.8176,29.8792
30.1904,30.2746,30.418,29.7446,29.7531,29.7004,29.6447,29.4244,29.2357,29.2894,29.6878,29.8176,29.8792
30.1887,30.2149,30.4154,29.7418,29.7481,29.6911,29.6391,29.4272,29.2369,29.2897,29.688,29.8269,29.8715
30.1887,30.2149,30.4154,29.7418,29.7481,29.6911,29.6391,29.4272,29.2369,29.2897,29.688,29.8269,29.8715
30.1877,30.0931,30.4117,29.7333,29.7366,29.6827,29.6313,29.4284,29.239,29.2896,29.6875,29.8305,29.8629
30.1877,30.0931,30.4117,29.7333,29.7366,29.6827,29.6313,29.4284,29.239,29.2896,29.6875,29.8305,29.8629
30.1814,30.0316,30.407,29.7192,29.7289,29.6719,29.6195,29.4285,29.2404,29.29,29.6854,29.8318,29.8498
30.1814,30.0316,30.407,29.7192,29.7289,29.6719,29.6195,29.4285,29.2404,29.29,29.6854,29.8318,29.8498
30.1624,30.0168,30.4,29.709,29.7086,29.6621,29.592,29.4291,29.241,29.2899,29.6812,29.8331,29.8376
30.1624,30.0168,30.4,29.709,29.7086,29.6621,29.592,29.4291,29.241,29.2899,29.6812,29.8331,29.8376
30.0763,29.9986,30.3882,29.7013,29.6921,29.6476,29.5698,29.4273,29.2418,29.2904,29.674,29.8353,29.8236
30.0763,29.9986,30.3882,29.7013,29.6921,29.6476,29.5698,29.4273,29.2418,29.2904,29.674,29.8353,29.8236
30.0267,29.9405,30.3738,29.7001,29.6778,29.6397,29.564,29.427,29.2424,29.2905,29.6583,29.8349,29.7957
30.0267,29.9405,30.3738,29.7001,29.6778,29.6397,29.564,29.427,29.2424,29.2905,29.6583,29.8349,29.7957
29.8916,29.8864,30.3698,29.6964,29.6486,29.6378,29.5501,29.4328,29.2429,29.2907,29.647,29.8341,29.782
29.8916,29.8864,30.3698,29.6964,29.6486,29.6378,29.5501,29.4328,29.2429,29.2907,29.647,29.8341,29.782
29.761,29.7985,30.3485,29.6946,29.6301,29.6228,29.5276,29.4291,29.2482,29.2914,29.6347,29.8273,29.7487
29.761,29.7985,30.3485,29.6946,29.6301,29.6228,29.5276,29.4291,29.2482,29.2914,29.6347,29.8273,29.7487
29.7226,29.6646,30.3359,29.6921,29.6133,29.6034,29.5131,29.4328,29.2727,29.2923,29.6173,29.8146,29.7267
29.7226,29.6646,30.3359,29.6921,29.6133,29.6034,29.5131,29.4328,29.2727,29.2923,29.6173,29.8146,29.7267
29.6831,29.6173,30.3146,29.6889,29.5666,29.5848,29.5075,29.4316,29.2814,29.294,29.5859,29.7848,29.7017
29.6831,29.6173,30.3146,29.6889,29.5666,29.5848,29.5075,29.4316,29.2814,29.294,29.5859,29.7848,29.7017
29.636,29.595,30.2976,29.684,29.4754,29.5651,29.4871,29.4291,29.2812,29.2984,29.5473,29.7585,29.6268
29.636,29.595,30.2976,29.684,29.4754,29.5651,29.4871,29.4291,29.2812,29.2984,29.5473,29.7585,29.6268
29.584,29.5585,30.2835,29.6757,29.3835,29.5451,29.4638,29.4257,29.2843,29.3016,29.4937,29.7381,29.5779
29.584,29.5585,30.2835,29.6757,29.3835,29.5451,29.4638,29.4257,29.2843,29.3016,29.4937,29.7381,29.5779
29.4886,29.4708,30.266,29.676,29.2574,29.504,29.4483,29.42,29.2894,29.3045,29.4089,29.6991,29.5347
29.4886,29.4708,30.266,29.676,29.2574,29.504,29.4483,29.42,29.2894,29.3045,29.4089,29.6991,29.5347
29.4181,29.3762,30.263,29.6863,29.1351,29.3874,29.4343,29.4084,29.2874,29.3091,29.338,29.6341,29.4404
29.4181,29.3762,30.263,29.6863,29.1351,29.3874,29.4343,29.4084,29.2874,29.3091,29.338,29.6341,29.4404
29.3414,29.1651,30.2552,29.6892,29.1077,29.2379,29.416,29.4013,29.289,29.3126,29.347,29.5198,29.2909
29.3414,29.1651,30.2552,29.6892,29.1077,29.2379,29.416,29.4013,29.289,29.3126,29.347,29.5198,29.2909
29.2999,29.1018,30.246,29.6921,29.0218,29.2405,29.3969,29.3975,29.2933,29.3151,29.3638,29.2807,28.8659
29.2999,29.1018,30.246,29.6921,29.0218,29.2405,29.3969,29.3975,29.2933,29.3151,29.3638,29.2807,28.8659
29.2686,29.0648,30.2225,29.6982,28.8789,29.2393,29.3846,29.3897,29.2982,29.3159,29.3722,29.16,28.5628
29.2686,29.0648,30.2225,29.6982,28.8789,29.2393,29.3846,29.3897,29.2982,29.3159,29.3722,29.16,28.5628
29.1508,29.0401,30.1636,29.6955,28.8232,29.2314,29.3732,29.3838,29.2998,29.3149,29.3876,29.1041,28.3474
29.1508,29.0401,30.1636,29.6955,28.8232,29.2314,29.3732,29.3838,29.2998,29.3149,29.3876,29.1041,28.3474
29.0813,29.0115,30.0856,29.6675,28.795,29.2178,29.3652,29.3658,29.3006,29.3172,29.4002,29.0621,28.2066
29.0813,29.0115,30.0856,29.6675,28.795,29.2178,29.3652,29.3658,29.3006,29.3172,29.4002,29.0621,28.2066
29.0218,29.0005,29.9439,29.6343,28.718,29.1958,29.3585,29.3665,29.3038,29.3209,29.3987,28.8625,28.2097
29.0218,29.0005,29.9439,29.6343,28.718,29.1958,29.3585,29.3665,29.3038,29.3209,29.3987,28.8625,28.2097
28.9673,28.9733,29.8302,29.5799,28.6942,29.1727,29.3457,29.3557,29.3054,29.3241,29.3203,28.6325,28.2234
28.9673,28.9733,29.8302,29.5799,28.6942,29.1727,29.3457,29.3557,29.3054,29.3241,29.3203,28.6325,28.2234
28.9351,28.8632,29.6317,29.5275,28.6549,29.1512,29.3283,29.3267,29.3101,29.3262,29.2492,28.2397,28.2301
28.9351,28.8632,29.6317,29.5275,28.6549,29.1512,29.3283,29.3267,29.3101,29.3262,29.2492,28.2397,28.2301
28.9013,28.8486,29.5062,29.3563,28.6083,29.1229,29.3,29.3103,29.3176,29.3291,29.1811,28.1141,28.224
28.9013,28.8486,29.5062,29.3563,28.6083,29.1229,29.3,29.3103,29.3176,29.3291,29.1811,28.1141,28.224
28.8495,28.801,29.3948,29.1404,28.5851,29.1107,29.2568,29.3019,29.3216,29.3314,29.1453,28.1501,28.1968
28.8495,28.801,29.3948,29.1404,28.5851,29.1107,29.2568,29.3019,29.3216,29.3314,29.1453,28.1501,28.1968
28.8033,28.6668,29.1988,29.0318,28.5683,29.0964,29.2251,29.296,29.3286,29.3342,29.1419,28.0485,28.0301
28.8033,28.6668,29.1988,29.0318,28.5683,29.0964,29.2251,29.296,29.3286,29.3342,29.1419,28.0485,28.0301
28.7791,28.5684,29.0822,28.8949,28.5437,28.9195,29.207,29.2898,29.331,29.3358,29.1549,27.9877,27.7258
28.7791,28.5684,29.0822,28.8949,28.5437,28.9195,29.207,29.2898,29.331,29.3358,29.1549,27.9877,27.7258
28.7791,28.5684,29.0822,28.8949,28.5437,28.9195,29.207,29.2898,29.331,29.3358,29.1549,27.9877,27.7258
28.7729,28.5083,29.0526,28.845,28.4066,28.111,29.1946,29.2836,29.3308,29.3406,28.9881,27.93,27.5485
28.7729,28.5083,29.0526,28.845,28.4066,28.111,29.1946,29.2836,29.3308,29.3406,28.9881,27.93,27.5485
28.7547,28.3467,29.0253,28.8271,28.2373,27.7946,29.188,29.2804,29.3262,29.3336,28.5669,27.8748,27.2368
28.7547,28.3467,29.0253,28.8271,28.2373,27.7946,29.188,29.2804,29.3262,29.3336,28.5669,27.8748,27.2368
28.7278,28.3147,28.9824,28.7671,28.0572,27.5751,29.1729,29.2773,29.3259,29.297,28.2784,27.8192,26.6632
28.7278,28.3147,28.9824,28.7671,28.0572,27.5751,29.1729,29.2773,29.3259,29.297,28.2784,27.8192,26.6632
28.6145,28.2316,28.8975,28.6853,27.9144,27.4483,29.1677,29.2746,29.0198,29.2364,28.1833,27.7257,26.2591
28.6145,28.2316,28.8975,28.6853,27.9144,27.4483,29.1677,29.2746,29.0198,29.2364,28.1833,27.7257,26.2591
28.4586,28.0921,28.8225,28.6512,27.747,27.2628,29.1489,29.2735,27.923,28.8702,27.8821,27.6458,25.9681
28.4586,28.0921,28.8225,28.6512,27.747,27.2628,29.1489,29.2735,27.923,28.8702,27.8821,27.6458,25.9681
28.3254,27.9184,28.7175,28.6117,27.6113,27.0475,28.7894,29.2735,26.6639,27.9652,27.1786,27.4689,25.9707
28.3254,27.9184,28.7175,28.6117,27.6113,27.0475,28.7894,29.2735,26.6639,27.9652,27.1786,27.4689,25.9707
28.156,27.4833,28.6449,28.5745,27.3861,26.7629,27.7524,29.2726,25.7976,27.2007,26.817,27.2642,25.7545
28.156,27.4833,28.6449,28.5745,27.3861,26.7629,27.7524,29.2726,25.7976,27.2007,26.817,27.2642,25.7545
27.7997,27.0312,28.547,28.5358,26.7462,26.4752,26.9294,29.2148,24.3672,26.3716,26.7388,27.1667,25.411
27.7997,27.0312,28.547,28.5358,26.7462,26.4752,26.9294,29.2148,24.3672,26.3716,26.7388,27.1667,25.411
27.6014,26.7268,28.4899,28.4756,26.0021,26.3009,26.7099,28.0384,23.0782,24.3307,26.7366,27.0936,25.2564
27.6014,26.7268,28.4899,28.4756,26.0021,26.3009,26.7099,28.0384,23.0782,24.3307,26.7366,27.0936,25.2564
27.4342,26.5705,28.4151,28.3252,25.2182,26.2659,26.3327,26.5059,22.2775,23.0987,26.7395,26.9669,25.1567
27.4342,26.5705,28.4151,28.3252,25.2182,26.2659,26.3327,26.5059,22.2775,23.0987,26.7395,26.9669,25.1567
27.2382,26.4118,28.2085,28.2847,24.4135,26.2389,26.1126,25.381,21.5652,22.0054,26.6637,26.8446,24.8363
27.2382,26.4118,28.2085,28.2847,24.4135,26.2389,26.1126,25.381,21.5652,22.0054,26.6637,26.8446,24.8363
