TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
35.6057,35.5906,35.4167,35.4287,35.4481,35.4432,35.454,35.3657,35.3002,35.331,35.1393,35.0478,35.0336
35.6057,35.5906,35.4167,35.4287,35.4481,35.4432,35.454,35.3657,35.3002,35.331,35.1393,35.0478,35.0336
35.6053,35.5954,35.4167,35.4305,35.4475,35.4422,35.4536,35.3678,35.3034,35.3317,35.1458,35.0482,35.0361
35.6053,35.5954,35.4167,35.4305,35.4475,35.4422,35.4536,35.3678,35.3034,35.3317,35.1458,35.0482,35.0361
35.6048,35.5992,35.4168,35.432,35.4473,35.4411,35.4538,35.3666,35.3054,35.3322,35.1502,35.0486,35.0383
35.6048,35.5992,35.4168,35.432,35.4473,35.4411,35.4538,35.3666,35.3054,35.3322,35.1502,35.0486,35.0383
35.6047,35.6017,35.4169,35.4337,35.4468,35.4398,35.4534,35.3656,35.3064,35.3324,35.1622,35.0518,35.0421
35.6047,35.6017,35.4169,35.4337,35.4468,35.4398,35.4534,35.3656,35.3064,35.3324,35.1622,35.0518,35.0421
35.6047,35.609,35.417,35.434,35.4466,35.4376,35.4527,35.3664,35.3049,35.3326,35.1696,35.0559,35.0426
35.6047,35.609,35.417,35.434,35.4466,35.4376,35.4527,35.3664,35.3049,35.3326,35.1696,35.0559,35.0426
35.6047,35.622,35.4169,35.434,35.4465,35.4354,35.452,35.3677,35.3055,35.3326,35.1748,35.0632,35.0466
35.6047,35.622,35.4169,35.434,35.4465,35.4354,35.452,35.3677,35.3055,35.3326,35.1748,35.0632,35.0466
35.6044,35.6405,35.4175,35.4344,35.4468,35.4337,35.4509,35.3681,35.307,35.3329,35.1876,35.0691,35.0495
35.6044,35.6405,35.4175,35.4344,35.4468,35.4337,35.4509,35.3681,35.307,35.3329,35.1876,35.0691,35.0495
35.6034,35.6446,35.4198,35.4358,35.4465,35.4316,35.4489,35.3681,35.3075,35.3329,35.2011,35.0731,35.0529
35.6034,35.6446,35.4198,35.4358,35.4465,35.4316,35.4489,35.3681,35.3075,35.3329,35.2011,35.0731,35.0529
